City_Name, Category_Name, Overall_Category_Score, SubCategory_Label, SubCategory_Score
Aarhus,Cost of Living,4.02,Inflation [Teleport score],0.40
Aarhus,Cost of Living,4.02,A kilogram of Apples,2.90
Aarhus,Cost of Living,4.02,Bread,0.87
Aarhus,Cost of Living,4.02,A Cappuccino,5.60
Aarhus,Cost of Living,4.02,Movie ticket,17.00
Aarhus,Cost of Living,4.02,Monthly fitness club membership,37.00
Aarhus,Cost of Living,4.02,A beer,1.70
Aarhus,Cost of Living,4.02,Monthly public transport,62.00
Aarhus,Cost of Living,4.02,Lunch,15.00
Aarhus,Cost of Living,4.02,5km taxi ride,13.00
Aarhus,Cost of Living,4.02,Price of a meal at a restaurant,97.32
Aarhus,Healthcare,9.13,Healthcare expenditure [Teleport score],0.92
Aarhus,Healthcare,9.13,Life expectancy (years),80.58
Aarhus,Healthcare,9.13,Life expectancy [Teleport score],0.83
Aarhus,Healthcare,9.13,Healthcare quality [Teleport score],0.98
Aarhus,Internet Access,8.37,Download speed (Mbps),90.07
Aarhus,Internet Access,8.37,Internet access (download) [Teleport score],0.82
Aarhus,Internet Access,8.37,Upload speed (Mbps),31.50
Aarhus,Internet Access,8.37,Internet access (upload) [Teleport score],0.86
Aarhus,Environmental Quality,7.63,Air quality [Teleport score],0.80
Aarhus,Environmental Quality,7.63,Cleanliness [Teleport score],0.85
Aarhus,Environmental Quality,7.63,Drinking water quality [Teleport score],0.77
Aarhus,Environmental Quality,7.63,Urban greenery [Teleport score],0.64
Aarhus,Travel Connectivity,3.54,Airport hub,8.00
Aarhus,Travel Connectivity,3.54,Airport hub [Teleport score],0.12
Aarhus,Travel Connectivity,3.54,Intercity train connectivity [Teleport score],0.59
Aarhus,Outdoors,4.13,Urban area elevation (meters),11.00
Aarhus,Outdoors,4.13,Median peak in meters,95.50
Aarhus,Outdoors,4.13,Elevation (hills or mountains) [Teleport score],0.12
Aarhus,Outdoors,4.13,Water access [Teleport score],0.71
Aarhus,Outdoors,4.13,Seaside access,1.00
Athens,Cost of Living,6.50,Inflation [Teleport score],0.65
Athens,Cost of Living,6.50,A kilogram of Apples,1.70
Athens,Cost of Living,6.50,Bread,0.64
Athens,Cost of Living,6.50,A Cappuccino,3.90
Athens,Cost of Living,6.50,Movie ticket,8.80
Athens,Cost of Living,6.50,Monthly fitness club membership,42.00
Athens,Cost of Living,6.50,A beer,1.80
Athens,Cost of Living,6.50,Monthly public transport,40.00
Athens,Cost of Living,6.50,Lunch,16.00
Athens,Cost of Living,6.50,5km taxi ride,8.30
Athens,Cost of Living,6.50,Price of a meal at a restaurant,62.87
Athens,Healthcare,7.26,Healthcare expenditure [Teleport score],0.70
Athens,Healthcare,7.26,Life expectancy (years),80.98
Athens,Healthcare,7.26,Life expectancy [Teleport score],0.86
Athens,Healthcare,7.26,Healthcare quality [Teleport score],0.62
Athens,Internet Access,2.23,Download speed (Mbps),14.00
Athens,Internet Access,2.23,Internet access (download) [Teleport score],0.26
Athens,Internet Access,2.23,Upload speed (Mbps),4.22
Athens,Internet Access,2.23,Internet access (upload) [Teleport score],0.18
Athens,Environmental Quality,3.80,Air quality [Teleport score],0.42
Athens,Environmental Quality,3.80,Cleanliness [Teleport score],0.29
Athens,Environmental Quality,3.80,Drinking water quality [Teleport score],0.71
Athens,Environmental Quality,3.80,Urban greenery [Teleport score],0.10
Athens,Travel Connectivity,3.71,Airport hub,104.00
Athens,Travel Connectivity,3.71,Airport hub [Teleport score],0.48
Athens,Travel Connectivity,3.71,Intercity train connectivity [Teleport score],0.26
Athens,Outdoors,6.48,Urban area elevation (meters),88.00
Athens,Outdoors,6.48,Presence of hills in city,1.00
Athens,Outdoors,6.48,Presence of mountains in city,1.00
Athens,Outdoors,6.48,Median peak in meters,983.00
Athens,Outdoors,6.48,Elevation (hills or mountains) [Teleport score],0.34
Athens,Outdoors,6.48,Water access [Teleport score],0.95
Athens,Outdoors,6.48,Seaside access,1.00
Beirut,Cost of Living,6.30,Inflation [Teleport score],0.63
Beirut,Cost of Living,6.30,A kilogram of Apples,1.60
Beirut,Cost of Living,6.30,Bread,0.34
Beirut,Cost of Living,6.30,A Cappuccino,4.50
Beirut,Cost of Living,6.30,Movie ticket,10.00
Beirut,Cost of Living,6.30,Monthly fitness club membership,73.00
Beirut,Cost of Living,6.30,A beer,1.30
Beirut,Cost of Living,6.30,Monthly public transport,62.00
Beirut,Cost of Living,6.30,Lunch,19.00
Beirut,Cost of Living,6.30,5km taxi ride,7.00
Beirut,Cost of Living,6.30,Price of a meal at a restaurant,65.55
Beirut,Healthcare,5.91,Healthcare expenditure [Teleport score],0.47
Beirut,Healthcare,5.91,Life expectancy (years),74.88
Beirut,Healthcare,5.91,Life expectancy [Teleport score],0.49
Beirut,Healthcare,5.91,Healthcare quality [Teleport score],0.81
Beirut,Internet Access,1.59,Download speed (Mbps),5.55
Beirut,Internet Access,1.59,Internet access (download) [Teleport score],0.10
Beirut,Internet Access,1.59,Upload speed (Mbps),4.81
Beirut,Internet Access,1.59,Internet access (upload) [Teleport score],0.22
Beirut,Environmental Quality,1.45,Air quality [Teleport score],0.16
Beirut,Environmental Quality,1.45,Cleanliness [Teleport score],0.22
Beirut,Environmental Quality,1.45,Drinking water quality [Teleport score],0.10
Beirut,Environmental Quality,1.45,Urban greenery [Teleport score],0.10
Beirut,Travel Connectivity,1.30,Airport hub,45.00
Beirut,Travel Connectivity,1.30,Airport hub [Teleport score],0.26
Beirut,Outdoors,3.84,Urban area elevation (meters),102.00
Beirut,Outdoors,3.84,Presence of hills in city,1.00
Beirut,Outdoors,3.84,Presence of mountains in city,1.00
Beirut,Outdoors,3.84,Water access [Teleport score],0.77
Beirut,Outdoors,3.84,Seaside access,1.00
Birmingham AL,Cost of Living,5.13,Inflation [Teleport score],0.51
Birmingham AL,Cost of Living,5.13,A kilogram of Apples,3.80
Birmingham AL,Cost of Living,5.13,Bread,0.70
Birmingham AL,Cost of Living,5.13,A Cappuccino,5.00
Birmingham AL,Cost of Living,5.13,Movie ticket,11.00
Birmingham AL,Cost of Living,5.13,Monthly fitness club membership,42.00
Birmingham AL,Cost of Living,5.13,A beer,2.10
Birmingham AL,Cost of Living,5.13,Monthly public transport,38.00
Birmingham AL,Cost of Living,5.13,Lunch,16.00
Birmingham AL,Cost of Living,5.13,5km taxi ride,7.70
Birmingham AL,Cost of Living,5.13,Price of a meal at a restaurant,71.34
Birmingham AL,Healthcare,8.74,Healthcare expenditure [Teleport score],0.99
Birmingham AL,Healthcare,8.74,Life expectancy (years),79.28
Birmingham AL,Healthcare,8.74,Life expectancy [Teleport score],0.76
Birmingham AL,Healthcare,8.74,Healthcare quality [Teleport score],0.87
Birmingham AL,Internet Access,5.16,Download speed (Mbps),56.76
Birmingham AL,Internet Access,5.16,Internet access (download) [Teleport score],0.67
Birmingham AL,Internet Access,5.16,Upload speed (Mbps),7.91
Birmingham AL,Internet Access,5.16,Internet access (upload) [Teleport score],0.36
Birmingham AL,Environmental Quality,7.04,Air quality [Teleport score],0.75
Birmingham AL,Environmental Quality,7.04,Cleanliness [Teleport score],0.58
Birmingham AL,Environmental Quality,7.04,Drinking water quality [Teleport score],0.82
Birmingham AL,Environmental Quality,7.04,Urban greenery [Teleport score],0.67
Birmingham AL,Travel Connectivity,1.44,Airport hub,20.00
Birmingham AL,Travel Connectivity,1.44,Airport hub [Teleport score],0.17
Birmingham AL,Travel Connectivity,1.44,Intercity train connectivity [Teleport score],0.12
Birmingham AL,Outdoors,1.27,Urban area elevation (meters),186.00
Birmingham AL,Outdoors,1.27,Presence of hills in city,1.00
Birmingham AL,Outdoors,1.27,Median peak in meters,227.00
Birmingham AL,Outdoors,1.27,Elevation (hills or mountains) [Teleport score],0.15
Birmingham AL,Outdoors,1.27,Water access [Teleport score],0.10
Brisbane,Cost of Living,5.18,Inflation [Teleport score],0.52
Brisbane,Cost of Living,5.18,A kilogram of Apples,3.30
Brisbane,Cost of Living,5.18,Bread,0.77
Brisbane,Cost of Living,5.18,A Cappuccino,3.20
Brisbane,Cost of Living,5.18,Movie ticket,11.00
Brisbane,Cost of Living,5.18,Monthly fitness club membership,41.00
Brisbane,Cost of Living,5.18,A beer,3.40
Brisbane,Cost of Living,5.18,Monthly public transport,100.00
Brisbane,Cost of Living,5.18,Lunch,14.00
Brisbane,Cost of Living,5.18,5km taxi ride,9.40
Brisbane,Cost of Living,5.18,Price of a meal at a restaurant,70.98
Brisbane,Healthcare,9.44,Healthcare expenditure [Teleport score],0.93
Brisbane,Healthcare,9.44,Life expectancy (years),82.84
Brisbane,Healthcare,9.44,Life expectancy [Teleport score],0.97
Brisbane,Healthcare,9.44,Healthcare quality [Teleport score],0.93
Brisbane,Internet Access,4.41,Download speed (Mbps),23.03
Brisbane,Internet Access,4.41,Internet access (download) [Teleport score],0.40
Brisbane,Internet Access,4.41,Upload speed (Mbps),11.41
Brisbane,Internet Access,4.41,Internet access (upload) [Teleport score],0.49
Brisbane,Environmental Quality,8.83,Air quality [Teleport score],0.91
Brisbane,Environmental Quality,8.83,Cleanliness [Teleport score],0.87
Brisbane,Environmental Quality,8.83,Drinking water quality [Teleport score],0.87
Brisbane,Environmental Quality,8.83,Urban greenery [Teleport score],0.88
Brisbane,Travel Connectivity,2.43,Airport hub,59.00
Brisbane,Travel Connectivity,2.43,Airport hub [Teleport score],0.31
Brisbane,Travel Connectivity,2.43,Intercity train connectivity [Teleport score],0.17
Brisbane,Outdoors,6.26,Urban area elevation (meters),32.00
Brisbane,Outdoors,6.26,Presence of hills in city,1.00
Brisbane,Outdoors,6.26,Median peak in meters,630.00
Brisbane,Outdoors,6.26,Elevation (hills or mountains) [Teleport score],0.25
Brisbane,Outdoors,6.26,Water access [Teleport score],1.00
Brisbane,Outdoors,6.26,Seaside access,1.00
Cambridge,Cost of Living,4.85,Inflation [Teleport score],0.49
Cambridge,Cost of Living,4.85,A kilogram of Apples,3.30
Cambridge,Cost of Living,4.85,Bread,0.45
Cambridge,Cost of Living,4.85,A Cappuccino,4.00
Cambridge,Cost of Living,4.85,Movie ticket,13.00
Cambridge,Cost of Living,4.85,Monthly fitness club membership,58.00
Cambridge,Cost of Living,4.85,A beer,3.00
Cambridge,Cost of Living,4.85,Monthly public transport,75.00
Cambridge,Cost of Living,4.85,Lunch,19.00
Cambridge,Cost of Living,4.85,5km taxi ride,10.00
Cambridge,Cost of Living,4.85,Price of a meal at a restaurant,91.47
Cambridge,Healthcare,8.19,Healthcare expenditure [Teleport score],0.82
Cambridge,Healthcare,8.19,Life expectancy (years),81.22
Cambridge,Healthcare,8.19,Life expectancy [Teleport score],0.87
Cambridge,Healthcare,8.19,Healthcare quality [Teleport score],0.77
Cambridge,Internet Access,5.81,Download speed (Mbps),66.55
Cambridge,Internet Access,5.81,Internet access (download) [Teleport score],0.72
Cambridge,Internet Access,5.81,Upload speed (Mbps),10.09
Cambridge,Internet Access,5.81,Internet access (upload) [Teleport score],0.44
Cambridge,Environmental Quality,8.02,Air quality [Teleport score],0.84
Cambridge,Environmental Quality,8.02,Cleanliness [Teleport score],0.84
Cambridge,Environmental Quality,8.02,Drinking water quality [Teleport score],0.64
Cambridge,Environmental Quality,8.02,Urban greenery [Teleport score],0.89
Cambridge,Travel Connectivity,6.89,Airport hub,135.00
Cambridge,Travel Connectivity,6.89,Airport hub [Teleport score],0.79
Cambridge,Travel Connectivity,6.89,Intercity train connectivity [Teleport score],0.59
Cambridge,Outdoors,0.50,Urban area elevation (meters),12.00
Cambridge,Outdoors,0.50,Water access [Teleport score],0.10
Chicago,Cost of Living,4.77,Inflation [Teleport score],0.48
Chicago,Cost of Living,4.77,A kilogram of Apples,3.50
Chicago,Cost of Living,4.77,Bread,1.10
Chicago,Cost of Living,4.77,A Cappuccino,4.50
Chicago,Cost of Living,4.77,Movie ticket,13.00
Chicago,Cost of Living,4.77,Monthly fitness club membership,59.00
Chicago,Cost of Living,4.77,A beer,2.40
Chicago,Cost of Living,4.77,Monthly public transport,94.00
Chicago,Cost of Living,4.77,Lunch,14.00
Chicago,Cost of Living,4.77,5km taxi ride,8.70
Chicago,Cost of Living,4.77,Price of a meal at a restaurant,75.47
Chicago,Healthcare,8.56,Healthcare expenditure [Teleport score],0.99
Chicago,Healthcare,8.56,Life expectancy (years),79.28
Chicago,Healthcare,8.56,Life expectancy [Teleport score],0.76
Chicago,Healthcare,8.56,Healthcare quality [Teleport score],0.82
Chicago,Internet Access,6.60,Download speed (Mbps),61.60
Chicago,Internet Access,6.60,Internet access (download) [Teleport score],0.69
Chicago,Internet Access,6.60,Upload speed (Mbps),17.01
Chicago,Internet Access,6.60,Internet access (upload) [Teleport score],0.63
Chicago,Environmental Quality,6.80,Air quality [Teleport score],0.73
Chicago,Environmental Quality,6.80,Cleanliness [Teleport score],0.62
Chicago,Environmental Quality,6.80,Drinking water quality [Teleport score],0.58
Chicago,Environmental Quality,6.80,Urban greenery [Teleport score],0.79
Chicago,Travel Connectivity,5.51,Airport hub,217.00
Chicago,Travel Connectivity,5.51,Airport hub [Teleport score],0.91
Chicago,Travel Connectivity,5.51,Intercity train connectivity [Teleport score],0.19
Chicago,Outdoors,5.42,Urban area elevation (meters),198.00
Chicago,Outdoors,5.42,Median peak in meters,253.00
Chicago,Outdoors,5.42,Elevation (hills or mountains) [Teleport score],0.16
Chicago,Outdoors,5.42,Water access [Teleport score],0.92
Chicago,Outdoors,5.42,Seaside waterbody,1.00
Cork,Cost of Living,4.90,Inflation [Teleport score],0.49
Cork,Cost of Living,4.90,A kilogram of Apples,2.90
Cork,Cost of Living,4.90,Bread,1.30
Cork,Cost of Living,4.90,A Cappuccino,3.50
Cork,Cost of Living,4.90,Movie ticket,12.00
Cork,Cost of Living,4.90,Monthly fitness club membership,52.00
Cork,Cost of Living,4.90,A beer,2.60
Cork,Cost of Living,4.90,Monthly public transport,95.00
Cork,Cost of Living,4.90,Lunch,13.00
Cork,Cost of Living,4.90,5km taxi ride,9.40
Cork,Cost of Living,4.90,Price of a meal at a restaurant,77.66
Cork,Healthcare,8.18,Healthcare expenditure [Teleport score],0.84
Cork,Healthcare,8.18,Life expectancy (years),81.42
Cork,Healthcare,8.18,Life expectancy [Teleport score],0.88
Cork,Healthcare,8.18,Healthcare quality [Teleport score],0.73
Cork,Internet Access,9.14,Download speed (Mbps),93.76
Cork,Internet Access,9.14,Internet access (download) [Teleport score],0.83
Cork,Internet Access,9.14,Upload speed (Mbps),66.04
Cork,Internet Access,9.14,Internet access (upload) [Teleport score],1.00
Cork,Environmental Quality,8.01,Air quality [Teleport score],1.00
Cork,Environmental Quality,8.01,Cleanliness [Teleport score],0.68
Cork,Environmental Quality,8.01,Drinking water quality [Teleport score],0.88
Cork,Environmental Quality,8.01,Urban greenery [Teleport score],0.65
Cork,Travel Connectivity,2.36,Airport hub,30.00
Cork,Travel Connectivity,2.36,Airport hub [Teleport score],0.20
Cork,Travel Connectivity,2.36,Intercity train connectivity [Teleport score],0.27
Cork,Outdoors,0.50,Urban area elevation (meters),9.00
Cork,Outdoors,0.50,Presence of hills in city,1.00
Cork,Outdoors,0.50,Presence of mountains in city,1.00
Cork,Outdoors,0.50,Water access [Teleport score],0.10
Cork,Outdoors,0.50,Seaside access,1.00
Dubai,Cost of Living,5.49,Inflation [Teleport score],0.55
Dubai,Cost of Living,5.49,A kilogram of Apples,2.40
Dubai,Cost of Living,5.49,Bread,0.55
Dubai,Cost of Living,5.49,A Cappuccino,4.80
Dubai,Cost of Living,5.49,Movie ticket,11.00
Dubai,Cost of Living,5.49,Monthly fitness club membership,100.00
Dubai,Cost of Living,5.49,A beer,2.90
Dubai,Cost of Living,5.49,Monthly public transport,72.00
Dubai,Cost of Living,5.49,Lunch,12.00
Dubai,Cost of Living,5.49,5km taxi ride,4.60
Dubai,Cost of Living,5.49,Price of a meal at a restaurant,68.29
Dubai,Healthcare,6.47,Healthcare expenditure [Teleport score],0.63
Dubai,Healthcare,6.47,Life expectancy (years),77.07
Dubai,Healthcare,6.47,Life expectancy [Teleport score],0.62
Dubai,Healthcare,6.47,Healthcare quality [Teleport score],0.69
Dubai,Internet Access,3.15,Download speed (Mbps),19.84
Dubai,Internet Access,3.15,Internet access (download) [Teleport score],0.35
Dubai,Internet Access,3.15,Upload speed (Mbps),5.90
Dubai,Internet Access,3.15,Internet access (upload) [Teleport score],0.28
Dubai,Environmental Quality,6.04,Air quality [Teleport score],0.49
Dubai,Environmental Quality,6.04,Cleanliness [Teleport score],0.85
Dubai,Environmental Quality,6.04,Drinking water quality [Teleport score],0.55
Dubai,Environmental Quality,6.04,Urban greenery [Teleport score],0.53
Dubai,Travel Connectivity,4.51,Airport hub,215.00
Dubai,Travel Connectivity,4.51,Airport hub [Teleport score],0.90
Dubai,Outdoors,5.80,Urban area elevation (meters),8.00
Dubai,Outdoors,5.80,Presence of hills in city,1.00
Dubai,Outdoors,5.80,Presence of mountains in city,1.00
Dubai,Outdoors,5.80,Median peak in meters,326.00
Dubai,Outdoors,5.80,Elevation (hills or mountains) [Teleport score],0.18
Dubai,Outdoors,5.80,Water access [Teleport score],0.98
Dubai,Outdoors,5.80,Seaside access,1.00
Frankfurt,Cost of Living,5.14,Inflation [Teleport score],0.51
Frankfurt,Cost of Living,5.14,A kilogram of Apples,2.60
Frankfurt,Cost of Living,5.14,Bread,0.54
Frankfurt,Cost of Living,5.14,A Cappuccino,3.30
Frankfurt,Cost of Living,5.14,Movie ticket,13.00
Frankfurt,Cost of Living,5.14,Monthly fitness club membership,51.00
Frankfurt,Cost of Living,5.14,A beer,1.10
Frankfurt,Cost of Living,5.14,Monthly public transport,98.00
Frankfurt,Cost of Living,5.14,Lunch,16.00
Frankfurt,Cost of Living,5.14,5km taxi ride,10.00
Frankfurt,Cost of Living,5.14,Price of a meal at a restaurant,72.66
Frankfurt,Healthcare,8.37,Healthcare expenditure [Teleport score],0.87
Frankfurt,Healthcare,8.37,Life expectancy (years),81.04
Frankfurt,Healthcare,8.37,Life expectancy [Teleport score],0.86
Frankfurt,Healthcare,8.37,Healthcare quality [Teleport score],0.78
Frankfurt,Internet Access,4.08,Download speed (Mbps),27.66
Frankfurt,Internet Access,4.08,Internet access (download) [Teleport score],0.45
Frankfurt,Internet Access,4.08,Upload speed (Mbps),7.97
Frankfurt,Internet Access,4.08,Internet access (upload) [Teleport score],0.37
Frankfurt,Environmental Quality,6.48,Air quality [Teleport score],0.56
Frankfurt,Environmental Quality,6.48,Cleanliness [Teleport score],0.55
Frankfurt,Environmental Quality,6.48,Drinking water quality [Teleport score],0.69
Frankfurt,Environmental Quality,6.48,Urban greenery [Teleport score],0.78
Frankfurt,Travel Connectivity,8.53,Airport hub,239.00
Frankfurt,Travel Connectivity,8.53,Airport hub [Teleport score],0.99
Frankfurt,Travel Connectivity,8.53,Intercity train connectivity [Teleport score],0.71
Frankfurt,Outdoors,5.38,Urban area elevation (meters),105.00
Frankfurt,Outdoors,5.38,Presence of hills in city,1.00
Frankfurt,Outdoors,5.38,Presence of mountains in city,1.00
Frankfurt,Outdoors,5.38,Median peak in meters,420.00
Frankfurt,Outdoors,5.38,Elevation (hills or mountains) [Teleport score],0.20
Frankfurt,Outdoors,5.38,Water access [Teleport score],0.88
Guatemala City,Cost of Living,8.18,Inflation [Teleport score],0.82
Guatemala City,Cost of Living,8.18,A kilogram of Apples,2.60
Guatemala City,Cost of Living,8.18,Bread,0.57
Guatemala City,Cost of Living,8.18,A Cappuccino,3.10
Guatemala City,Cost of Living,8.18,Movie ticket,6.10
Guatemala City,Cost of Living,8.18,Monthly fitness club membership,67.00
Guatemala City,Cost of Living,8.18,A beer,1.60
Guatemala City,Cost of Living,8.18,Monthly public transport,15.00
Guatemala City,Cost of Living,8.18,Lunch,5.10
Guatemala City,Cost of Living,8.18,5km taxi ride,5.60
Guatemala City,Cost of Living,8.18,Price of a meal at a restaurant,34.81
Guatemala City,Healthcare,3.57,Healthcare expenditure [Teleport score],0.27
Guatemala City,Healthcare,3.57,Life expectancy (years),71.89
Guatemala City,Healthcare,3.57,Life expectancy [Teleport score],0.31
Guatemala City,Healthcare,3.57,Healthcare quality [Teleport score],0.48
Guatemala City,Internet Access,2.51,Download speed (Mbps),10.32
